2016-09-05 19:54:35.4056|INFO|thread:32|ProcessWrapper|Starting: Process - FileName: 'C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\cmd\git.exe', Args: 'add --all "node_modules/gulp-autoprefixer/node_modules/autoprefixer/node_modules/caniuse-db/region-usage-json/FI.json" ', Working Directory: C:\Users\jespoz\desarrollos\as\proyectos\
2016-09-05 19:54:35.6746|INFO|thread:32|GitEnvironment|Process set up with this SSH Agent info: 6328:/tmp/ssh-1mohQI57ePJQ/agent.3992
2016-09-05 19:54:35.6746|INFO|thread:32|GitEnvironment|PATH is C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\cmd;C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\usr\bin;C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\usr\share\git-tfs;C:\Users\jespoz\AppData\Local\Apps\2.0\X0PVJAW5.L42\AHO9CELT.GD7\gith..tion_317444273a93ac29_0003.0002_34b4671ab86a4854;C:\Users\jespoz\AppData\Local\GitHub\lfs-amd64_1.2.0;C:\Windows\System32;C:\Program Files (x86)\MSBuild\14.0\bin\;C:\Program Files (x86)\Microsoft SDKs\Windows\v8.1A\bin\NETFX 4.5.1 Tools\x64
2016-09-05 19:54:35.6746|INFO|thread:32|ProcessWrapper|Starting: Process - FileName: 'C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\cmd\git.exe', Args: 'add --all "node_modules/gulp-autoprefixer/node_modules/autoprefixer/node_modules/caniuse-db/region-usage-json/FJ.json" ', Working Directory: C:\Users\jespoz\desarrollos\as\proyectos\
2016-09-05 19:54:35.8116|INFO|thread:32|GitEnvironment|Process set up with this SSH Agent info: 6328:/tmp/ssh-1mohQI57ePJQ/agent.3992
2016-09-05 19:54:35.8116|INFO|thread:32|GitEnvironment|PATH is C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\cmd;C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\usr\bin;C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\usr\share\git-tfs;C:\Users\jespoz\AppData\Local\Apps\2.0\X0PVJAW5.L42\AHO9CELT.GD7\gith..tion_317444273a93ac29_0003.0002_34b4671ab86a4854;C:\Users\jespoz\AppData\Local\GitHub\lfs-amd64_1.2.0;C:\Windows\System32;C:\Program Files (x86)\MSBuild\14.0\bin\;C:\Program Files (x86)\Microsoft SDKs\Windows\v8.1A\bin\NETFX 4.5.1 Tools\x64
2016-09-05 19:54:35.8116|INFO|thread:32|ProcessWrapper|Starting: Process - FileName: 'C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\cmd\git.exe', Args: 'add --all "node_modules/gulp-autoprefixer/node_modules/autoprefixer/node_modules/caniuse-db/region-usage-json/FK.json" ', Working Directory: C:\Users\jespoz\desarrollos\as\proyectos\
2016-09-05 19:54:35.9496|INFO|thread:15|GitEnvironment|Process set up with this SSH Agent info: 6328:/tmp/ssh-1mohQI57ePJQ/agent.3992
2016-09-05 19:54:35.9496|INFO|thread:15|GitEnvironment|PATH is C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\cmd;C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\usr\bin;C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\usr\share\git-tfs;C:\Users\jespoz\AppData\Local\Apps\2.0\X0PVJAW5.L42\AHO9CELT.GD7\gith..tion_317444273a93ac29_0003.0002_34b4671ab86a4854;C:\Users\jespoz\AppData\Local\GitHub\lfs-amd64_1.2.0;C:\Windows\System32;C:\Program Files (x86)\MSBuild\14.0\bin\;C:\Program Files (x86)\Microsoft SDKs\Windows\v8.1A\bin\NETFX 4.5.1 Tools\x64
2016-09-05 19:54:35.9496|INFO|thread:15|ProcessWrapper|Starting: Process - FileName: 'C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\cmd\git.exe', Args: 'add --all "node_modules/gulp-autoprefixer/node_modules/autoprefixer/node_modules/caniuse-db/region-usage-json/FM.json" ', Working Directory: C:\Users\jespoz\desarrollos\as\proyectos\
2016-09-05 19:54:36.0826|INFO|thread:34|GitEnvironment|Process set up with this SSH Agent info: 6328:/tmp/ssh-1mohQI57ePJQ/agent.3992
2016-09-05 19:54:36.0826|INFO|thread:34|GitEnvironment|PATH is C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\cmd;C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\usr\bin;C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\usr\share\git-tfs;C:\Users\jespoz\AppData\Local\Apps\2.0\X0PVJAW5.L42\AHO9CELT.GD7\gith..tion_317444273a93ac29_0003.0002_34b4671ab86a4854;C:\Users\jespoz\AppData\Local\GitHub\lfs-amd64_1.2.0;C:\Windows\System32;C:\Program Files (x86)\MSBuild\14.0\bin\;C:\Program Files (x86)\Microsoft SDKs\Windows\v8.1A\bin\NETFX 4.5.1 Tools\x64
2016-09-05 19:54:36.0826|INFO|thread:34|ProcessWrapper|Starting: Process - FileName: 'C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\cmd\git.exe', Args: 'add --all "node_modules/gulp-autoprefixer/node_modules/autoprefixer/node_modules/caniuse-db/region-usage-json/FO.json" ', Working Directory: C:\Users\jespoz\desarrollos\as\proyectos\
2016-09-05 19:54:36.2696|INFO|thread:34|GitEnvironment|Process set up with this SSH Agent info: 6328:/tmp/ssh-1mohQI57ePJQ/agent.3992
2016-09-05 19:54:36.2696|INFO|thread:34|GitEnvironment|PATH is C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\cmd;C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\usr\bin;C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\usr\share\git-tfs;C:\Users\jespoz\AppData\Local\Apps\2.0\X0PVJAW5.L42\AHO9CELT.GD7\gith..tion_317444273a93ac29_0003.0002_34b4671ab86a4854;C:\Users\jespoz\AppData\Local\GitHub\lfs-amd64_1.2.0;C:\Windows\System32;C:\Program Files (x86)\MSBuild\14.0\bin\;C:\Program Files (x86)\Microsoft SDKs\Windows\v8.1A\bin\NETFX 4.5.1 Tools\x64
2016-09-05 19:54:36.2696|INFO|thread:34|ProcessWrapper|Starting: Process - FileName: 'C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\cmd\git.exe', Args: 'add --all "node_modules/gulp-autoprefixer/node_modules/autoprefixer/node_modules/caniuse-db/region-usage-json/FR.json" ', Working Directory: C:\Users\jespoz\desarrollos\as\proyectos\
2016-09-05 19:54:36.3956|INFO|thread:34|GitEnvironment|Process set up with this SSH Agent info: 6328:/tmp/ssh-1mohQI57ePJQ/agent.3992
2016-09-05 19:54:36.3956|INFO|thread:34|GitEnvironment|PATH is C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\cmd;C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\usr\bin;C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\usr\share\git-tfs;C:\Users\jespoz\AppData\Local\Apps\2.0\X0PVJAW5.L42\AHO9CELT.GD7\gith..tion_317444273a93ac29_0003.0002_34b4671ab86a4854;C:\Users\jespoz\AppData\Local\GitHub\lfs-amd64_1.2.0;C:\Windows\System32;C:\Program Files (x86)\MSBuild\14.0\bin\;C:\Program Files (x86)\Microsoft SDKs\Windows\v8.1A\bin\NETFX 4.5.1 Tools\x64
2016-09-05 19:54:36.3956|INFO|thread:34|ProcessWrapper|Starting: Process - FileName: 'C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\cmd\git.exe', Args: 'add --all "node_modules/gulp-autoprefixer/node_modules/autoprefixer/node_modules/caniuse-db/region-usage-json/GA.json" ', Working Directory: C:\Users\jespoz\desarrollos\as\proyectos\
2016-09-05 19:54:36.6217|INFO|thread:34|GitEnvironment|Process set up with this SSH Agent info: 6328:/tmp/ssh-1mohQI57ePJQ/agent.3992
2016-09-05 19:54:36.6217|INFO|thread:34|GitEnvironment|PATH is C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\cmd;C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\usr\bin;C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\usr\share\git-tfs;C:\Users\jespoz\AppData\Local\Apps\2.0\X0PVJAW5.L42\AHO9CELT.GD7\gith..tion_317444273a93ac29_0003.0002_34b4671ab86a4854;C:\Users\jespoz\AppData\Local\GitHub\lfs-amd64_1.2.0;C:\Windows\System32;C:\Program Files (x86)\MSBuild\14.0\bin\;C:\Program Files (x86)\Microsoft SDKs\Windows\v8.1A\bin\NETFX 4.5.1 Tools\x64
2016-09-05 19:54:36.6217|INFO|thread:34|ProcessWrapper|Starting: Process - FileName: 'C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\cmd\git.exe', Args: 'add --all "node_modules/gulp-autoprefixer/node_modules/autoprefixer/node_modules/caniuse-db/region-usage-json/GB.json" ', Working Directory: C:\Users\jespoz\desarrollos\as\proyectos\
2016-09-05 19:54:36.7507|INFO|thread: 4|GitEnvironment|Process set up with this SSH Agent info: 6328:/tmp/ssh-1mohQI57ePJQ/agent.3992
